Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
D-ID,https://finder.startupnationcentral.org/company_page/de-identification,Creative AI Solution,Content & Media,2017,51-200,B,18161372
Faception,https://finder.startupnationcentral.org/company_page/faception,Facial Personality Analytics,Security Technologies,2014,Nov-50,A,10588678
Wix,https://finder.startupnationcentral.org/company_page/wix,Cloud-based Web Development and Design Platform,Content & Media,2006,500+,Public,97250
Fiverr,https://finder.startupnationcentral.org/company_page/fiverr, Marketplace for Freelance Services,Retail & Marketing,2010,500+,Public,861427
Cybereason,https://finder.startupnationcentral.org/company_page/cybereason,Unified Cyberattack Protection,Security Technologies,2012,500+,G,3173675
NT-Tao,https://finder.startupnationcentral.org/company_page/nt-tao,Compact Nuclear Fusion Technology,Energy-tech,2019,Nov-50,A,91681294
Augury,https://finder.startupnationcentral.org/company_page/augury,Predictive and Prescriptive AI for Industrial Manufacturing,Industrial Technologies,2012,201-500,E,
BrandTotal,https://finder.startupnationcentral.org/company_page/brandtotal,Agile Marketing Intelligence,"Enterprise, IT & Data Infrastructure",2016,Nov-50,B,17903650
MyHeritage,https://finder.startupnationcentral.org/company_page/myheritage,Genetic Ancestry Research,Content & Media,2003,500+,Mature,167538
Paragon,https://finder.startupnationcentral.org/company_page/paragon,Smartphone Surveillance Solutions for Government Agencies,Security Technologies,2019,51-200,Seed,37572495
SimilarWeb,https://finder.startupnationcentral.org/company_page/similarweb,Web Analytics and Competitive Intelligence,"Enterprise, IT & Data Infrastructure",2007,500+,Public,429838
eToro,https://finder.startupnationcentral.org/company_page/etoro,Social Trading Network,FinTech,2006,500+,E,167277
K Health,https://finder.startupnationcentral.org/company_page/kang-health,AI Personal Health Assistant,Life Sciences & HealthTech,2016,201-500,E,17882015
Bancor,https://finder.startupnationcentral.org/company_page/bancor,Decentralized Liquidity Network,FinTech,2016,51-200,Mature,17986744
DEEL,https://finder.startupnationcentral.org/company_page/deel,Payroll and Compliance for International Teams,FinTech,2018,500+,D,18922914
Remilk,https://finder.startupnationcentral.org/company_page/remilk,Animal-free Dairy Products,AgriFood-tech & Water,2019,51-200,B,42351653
Watergen,https://finder.startupnationcentral.org/company_page/water-gen,Atmospheric Water Generator,AgriFood-tech & Water,2009,51-200,Mature,824932
Mine,https://finder.startupnationcentral.org/company_page/mine,AI-based Data Ownership Solution,Security Technologies,2018,Nov-50,A,18924219
Via,https://finder.startupnationcentral.org/company_page/via,Urban Transportation Optimization Platform,Smart Mobility,2012,500+,G,2770100
Taranis,https://finder.startupnationcentral.org/company_page/taranis,AI-powered Crop Intelligence Solutions,AgriFood-tech & Water,2015,51-200,D,5283228
3DBattery,https://finder.startupnationcentral.org/company_page/3d-battery,Solid Cell Technology for Rechargeable Microbatteries,Energy-tech,2017,Nov-50,Seed,11390151
TIPA,https://finder.startupnationcentral.org/company_page/tipa,Compostable Flexible Packaging,Industrial Technologies,2010,51-200,C,1495199
TytoCare,https://finder.startupnationcentral.org/company_page/tytocare,Remote Primary Care and a Home Smart Clinic,Digital Health,2012,51-200,D,
Itamar Medical,https://finder.startupnationcentral.org/company_page/itamar-medical,Home Sleep Testing and Endothelial Function Assessment ,Life Sciences & HealthTech,1997,201-500,Mature,52332
GIGABLUE,https://finder.startupnationcentral.org/company_page/gigablue,Ocean-based Carbon Dioxide Removal and Storage,Industrial Technologies,2022,Nov-50,Seed,93079493
Dream Security,https://finder.startupnationcentral.org/company_page/dream-security,Cybersecurity Solutions for Critical Infrastructure,Security Technologies,2022,Nov-50,Pre-Seed,86424758
Payoneer Global,https://finder.startupnationcentral.org/company_page/payoneer,Global Payment Solutions ,FinTech,2005,500+,Public,56101
Sufresca,https://finder.startupnationcentral.org/company_page/sufresca,Natural Edible Coatings for Fresh Fruits and Vegetables,AgriFood-tech & Water,2020,Nov-50,Seed,64517646
Hyro,https://finder.startupnationcentral.org/company_page/airbud-technologies,Plug-and-play Conversational AI and Natural Language Automation,Retail & Marketing,2018,51-200,B,11742085
Carbon Twist,https://finder.startupnationcentral.org/company_page/carbon-twist,Methane Removal,Industrial Technologies,2023,01-Oct,Seed,
Moovit,https://finder.startupnationcentral.org/company_page/moovit,Live Transport App with Maps ,Smart Mobility,2011,201-500,Mature,2765592
